                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52152,                0.51902,                0.96306,                0.99981,                0.99995,                  0.995,                 0.9468,                0.33761,                0.19234,                0.79791,              0.0033322,              0.0033322,              0.0033322
                      2,                0.40215,                0.27556,                0.89611,                 0.9999,                0.99992,                  0.995,                0.96502,                0.27153,                0.18135,                0.79064,              0.0065336,              0.0065336,              0.0065336
                      3,                0.41173,                0.27234,                0.90334,                0.99987,                0.99992,                  0.995,                0.93851,                0.35921,                0.21069,                0.80308,              0.0096029,              0.0096029,              0.0096029
                      4,                0.38701,                0.25673,                0.89549,                0.99993,                0.99994,                  0.995,                0.97041,                0.27355,                0.17928,                0.78878,               0.009406,               0.009406,               0.009406
                      5,                0.34448,                0.23074,                0.88106,                0.99988,                0.99994,                  0.995,                0.97421,                0.26621,                0.16389,                0.78567,               0.009406,               0.009406,               0.009406
                      6,                0.31384,                0.21085,                0.86773,                0.99996,                0.99992,                  0.995,                0.98244,                0.24768,                0.15398,                0.77712,               0.009208,               0.009208,               0.009208
                      7,                0.29136,                0.19814,                0.86077,                0.99999,                0.99998,                  0.995,                  0.969,                0.29479,                 0.1578,                0.78557,                0.00901,                0.00901,                0.00901
                      8,                0.27586,                0.18847,                0.85442,                0.99995,                0.99997,                  0.995,                 0.9869,                0.22466,                0.14037,                0.77473,               0.008812,               0.008812,               0.008812
                      9,                0.26481,                0.18185,                0.85118,                0.99999,                      1,                  0.995,                0.96694,                0.29672,                0.15246,                 0.7903,               0.008614,               0.008614,               0.008614
                     10,                0.25603,                0.17624,                0.84565,                0.99997,                0.99999,                  0.995,                0.97269,                0.29408,                 0.1501,                0.78402,               0.008416,               0.008416,               0.008416
                     11,                0.24581,                0.17068,                0.84223,                0.99999,                      1,                  0.995,                0.94169,                0.37735,                 0.1646,                0.79876,               0.008218,               0.008218,               0.008218
                     12,                0.23832,                0.16549,                0.83966,                0.99995,                      1,                  0.995,                0.94487,                0.34739,                0.17244,                0.79547,                0.00802,                0.00802,                0.00802
                     13,                0.23341,                0.16157,                0.83946,                0.99998,                      1,                  0.995,                0.98548,                0.24873,                0.13381,                0.77684,               0.007822,               0.007822,               0.007822
                     14,                0.22683,                0.15813,                0.83635,                0.99995,                      1,                  0.995,                0.95699,                0.32893,                0.15063,                0.78983,               0.007624,               0.007624,               0.007624
                     15,                0.22191,                 0.1565,                0.83472,                0.99998,                0.99999,                  0.995,                 0.9719,                0.29565,                 0.1404,                0.78439,               0.007426,               0.007426,               0.007426
