                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73466,                 1.0528,                  1.108,                0.85508,                0.85352,                0.92576,                0.77659,                0.58824,                0.63733,                0.89121,             3.7321e-05,             3.7321e-05,             3.7321e-05
                      2,                0.66018,                0.54464,                  1.043,                0.89408,                0.88405,                0.95098,                0.78601,                0.62127,                0.58589,                0.90582,             6.7263e-05,             6.7263e-05,             6.7263e-05
                      3,                0.62961,                0.48704,                 1.0267,                 0.9161,                0.91143,                0.96605,                0.80393,                0.60648,                0.52201,                0.90097,             8.9814e-05,             8.9814e-05,             8.9814e-05
                      4,                0.60464,                 0.4535,                 1.0131,                0.93095,                0.92553,                0.97307,                0.82848,                0.56486,                0.48538,                0.88944,             7.8736e-05,             7.8736e-05,             7.8736e-05
                      5,                0.59141,                0.43433,                 1.0053,                0.93147,                 0.9273,                0.97405,                0.82729,                0.58625,                0.48373,                0.89452,             7.8736e-05,             7.8736e-05,             7.8736e-05
                      6,                0.57783,                0.41864,                0.99739,                0.95112,                0.94265,                0.98341,                0.84157,                0.56358,                0.44252,                0.88794,             6.7648e-05,             6.7648e-05,             6.7648e-05
                      7,                 0.5691,                0.40747,                0.99365,                0.94932,                0.94468,                0.98197,                0.83923,                0.58016,                0.44471,                0.88827,              5.656e-05,              5.656e-05,              5.656e-05
                      8,                0.56168,                0.39761,                0.98846,                0.95845,                0.95433,                0.98586,                 0.8484,                0.56785,                0.42478,                 0.8843,             4.5472e-05,             4.5472e-05,             4.5472e-05
                      9,                0.55529,                0.38902,                0.98401,                0.96078,                0.95682,                0.98708,                0.85694,                0.55187,                 0.4183,                0.88041,             3.4384e-05,             3.4384e-05,             3.4384e-05
                     10,                0.54922,                 0.3823,                0.98006,                0.96047,                0.95687,                0.98698,                 0.8513,                0.56223,                 0.4198,                0.88377,             2.3296e-05,             2.3296e-05,             2.3296e-05
